num_of_nodes,average_shortest_path_length,clustering_coefficient,assortativity,avg_degree_centrality,avg_closeness_centrality,avg_betweenness_centrality
731,139.77994490564623,0.331794546222362,-0.05726701916900558,0.0037141839851583132,0.0074998260078175845,0.19037029479512507
4787,965.9630687688335,0.3227100799853398,-0.03917597900333166,0.0005566859890333622,0.001086521827710009,0.20166417320142843
2458,477.06074141631507,0.3271165528926647,-0.05021160042448238,0.0010948277831923322,0.0022003139422986347,0.19383580676560092
7678,1444.450984346059,0.36910152159161214,-0.06789138684868573,0.0003606812879327536,0.0007287437957749935,0.18804728821600541
6160,1165.7213736417827,0.3441876445740804,-0.03869467990491281,0.0004424419548628132,0.0009019672836240049,0.18913955401782764
1677,325.13385079333904,0.32130166593493925,-0.07459938356484398,0.001596070947239261,0.003229388200485912,0.19351274674229174
7525,1477.3380583947537,0.3398325622142749,-0.046970829593404796,0.00035949634480847117,0.0007110284781845138,0.19624326178316587
9910,1850.5116235034475,0.32685408952628703,-0.04882123966382529,0.00027312112371924153,0.0005691199632036039,0.1866685126668808
8263,1597.5134751390333,0.3347841417471187,-0.045055101111999694,0.0003275869105035592,0.0006565616118343272,0.19325910605726174
413,85.67835398105268,0.27811891744023914,-0.04823495780497076,0.006358870683372984,0.012216817708773212,0.20603005834806004
8522,1613.795750829549,0.3388643172650462,-0.037591479348824924,0.0003183872989246734,0.0006509064673929311,0.18929527591896053
7184,1397.560238586095,0.340692559738359,-0.05433274012241629,0.0003765308897182086,0.0007519086439128861,0.19445283188333415
9547,1823.171266018784,0.34101707537684384,-0.03318981081455074,0.00028449894839197677,0.0005755971855060996,0.19090322326021883
6200,1177.8755563592463,0.3845382233629587,-0.0740144857664774,0.0004478349785866005,0.000892258486926123,0.18987988969978067
9061,1732.6654274815799,0.3318384064666605,-0.042269878045701884,0.00029810216893929133,0.0006060223319627902,0.19115414808274472
7211,1338.5358646666145,0.33061336360793037,-0.04509484503990607,0.0003769860770962893,0.0007866242095526259,0.18553694890645364
6554,1207.954535588575,0.35495506429842383,-0.04246120980144026,0.0004177574921251598,0.0008713652192106864,0.18421162020582746
2986,565.2906997591216,0.3362540205789492,-0.06104442053187493,0.0009092122815461741,0.0018580564349653488,0.1891054623857642
1045,200.9238061192689,0.31409039423534213,-0.0286173420234573,0.002544501274083784,0.005227114838761264,0.19168150155251062
1858,358.3264997365451,0.32072099387516995,-0.04604127566488079,0.0014485671705640618,0.0029337253052661035,0.19252505373736242
2140,422.3320470304492,0.33025556775652715,-0.048581187188998926,0.001259650548557517,0.0024779574623713363,0.19706831011714054
6258,1172.267645523048,0.33254211804934486,-0.04270576848269295,0.00043369770376192946,0.0008995550475090074,0.1872230891181334
2614,471.71260963149643,0.3917083550319627,-0.08812982353155967,0.0010731464213860446,0.0022376198560288755,0.18021156570884256
1668,328.03988339022845,0.3238530848478639,-0.04761851631106528,0.001612627114864848,0.003198115829288721,0.1963024510145434
2731,531.0458010925971,0.3483898127298753,-0.06667850910234642,0.0009979035976838946,0.0019753396292423275,0.19422711656013034
8495,1660.9801016484578,0.34930590425435853,-0.03486329738397375,0.00031944440787264554,0.0006321564029487958,0.19545273774266644
8226,1606.8504933205338,0.3155454205986179,-0.042118023145708915,0.00032589971600163113,0.000652963084667865,0.19526392185317665
2208,406.3171738637931,0.3396145842482151,-0.049631158186847976,0.0012386477807765364,0.002589664680760305,0.18373398633898075
6438,1198.4707163651735,0.32594422860916017,-0.039147679287466465,0.0004199664461191348,0.0008780895045681192,0.18605822193368274
9884,1833.8017084387536,0.35694212547871657,-0.03492977561080401,0.0002775492280319571,0.000573630095611766,0.18546870152183256
8401,1643.9587757976658,0.354804802510539,-0.06769796667819461,0.0003264634028828254,0.0006390152035214038,0.19561361778755312
4555,838.4994656149622,0.34440581868996967,-0.04854999658073833,0.0006006709581375991,0.0012519208878419743,0.1839445345080095
9523,1846.4899046633204,0.3445801258364679,-0.03664223104026487,0.00028571426680913935,0.0005687433383771114,0.1938336209078168
3079,579.0145942424535,0.33611672489279437,-0.06954779286139237,0.0008838088870909273,0.0018141304668229422,0.18785004687762577
6275,1213.393707236721,0.3237128165517457,-0.03853301381515192,0.00042957275139167043,0.0008643109454958,0.19327175310644323
1140,217.04614851439396,0.3214965876675785,-0.05772438212440198,0.0023658795804260327,0.004837354759291009,0.1898472306804868
901,163.06824762609446,0.34077493428670413,-0.05798554593614445,0.003028733505980953,0.00647120844708389,0.18027613751512192
9590,1854.8267748139895,0.34407549114574115,-0.03766781758396545,0.0002834756674504148,0.0005658515174325362,0.19334864151168085
1102,220.45487932930135,0.3265472143399909,-0.04038900465865098,0.002437975046608285,0.004754079698672375,0.19950443575391047
3157,571.5635048434826,0.3480748120664352,-0.05096363294016749,0.0008697753759424189,0.0018417639725685124,0.18084421706607967
1106,213.05006832333711,0.3196900933294489,-0.07030099889802807,0.002438365803965201,0.004924353668580522,0.19207433724939968
2815,533.8401923394952,0.33265232861539185,-0.07598968324463636,0.0009624549164858983,0.0019658950200740293,0.1894206158334491
4952,950.5836907672574,0.33828414735303464,-0.0471282089587739,0.0005458990840446612,0.0011045013195652995,0.19183508904388963
4610,880.2779561256411,0.3586132073435675,-0.058999782947778315,0.0005943290242753936,0.0011946348290024498,0.19081552867309953
1362,259.8254835511161,0.3514059367719747,-0.06323809690225488,0.0020057377694772476,0.004042061188469372,0.1903128555522913
8656,1642.9465187389678,0.346628556973769,-0.04084520701061548,0.0003147187686538367,0.0006394592825148202,0.18973266914016299
1788,334.7114669831457,0.3462611577581741,-0.0868189594873188,0.0015335714437729885,0.003139087528657285,0.18684852574644206
9674,1815.0887270944077,0.35161746666446925,-0.036261424324012734,0.0002823141622517293,0.000578770912339937,0.18756086921985202
1100,195.86592935726694,0.35435831469295886,-0.06997736834122201,0.0025130283729010014,0.005379799112585159,0.1774735240047966
1641,305.2443721109972,0.34662345138011147,-0.061709663694615696,0.001657971789955468,0.0034500680857955384,0.18562804887797293
7594,1469.570381643878,0.33112341374759074,-0.0373957313547468,0.0003550044933129176,0.0007144392553251999,0.19343656238723447
5527,1060.582964057405,0.3448574101526554,-0.030365839491922914,0.0004920404887637114,0.000989213793108177,0.19177972200134044
5509,1041.5649566240916,0.3362404539243757,-0.04139309310076279,0.0004934817825666234,0.0010084138950226596,0.18895314265917812
8765,1725.8383824248085,0.3325122365083175,-0.0395883634331855,0.0003068873520075707,0.0006073299242117938,0.19683195052205973
7289,1427.712791096579,0.34410554742757177,-0.04986936756327891,0.0003716334810630005,0.0007345036958750408,0.19578877330816333
2833,539.0822656603668,0.37872497642720954,-0.0685810210965771,0.0009779316011255897,0.0019481140266664528,0.19006791439786996
2169,418.27523736855625,0.3187618262256539,-0.046280075468096434,0.0012389439247089907,0.0025133840113266783,0.19255894663985043
1413,256.91815276599925,0.3438453576330829,-0.06893184182437033,0.0019386955205508154,0.004092203858018987,0.18137360224379784
5335,1032.838592832878,0.3187306371331628,-0.037767186177050015,0.0005031470410153313,0.0010156376032173422,0.19348182877046324
920,180.57795808298243,0.2876786142575617,-0.059504677124127284,0.0029024932582674507,0.005831608608722513,0.19561869072220317
9789,1858.776167719177,0.36248583399386514,-0.06271246538048977,0.00028120936559117814,0.0005652037163114859,0.18982079980782507
4492,887.1747302857422,0.3286659590236533,-0.04022283382927565,0.0005973161322149846,0.001182521207899524,0.1973663096404781
6130,1189.351180665182,0.3495268352224544,-0.04639787328249225,0.0004443347847276556,0.0008821590046538388,0.19392153731481515
3147,619.9064225487659,0.3242219912314406,-0.05691939844730774,0.000853091502194585,0.0016914850656104257,0.1967905954050128
