num_of_nodes,average_shortest_path_length,clustering_coefficient,assortativity,avg_degree_centrality,avg_closeness_centrality,avg_betweenness_centrality
731,43.33360568183948,0.0,-0.22176260209546944,0.0027359781121751537,0.027485306242121334,0.05807078968702262
4787,308.2230232300515,0.0,-0.11333301228610235,0.000417798203467694,0.00381819997835262,0.06420543850157816
2458,150.69283391171103,0.0,-0.1605223840148308,0.0008136696501220943,0.00791679702742963,0.060949850941250376
7678,514.1780171507176,0.0,-0.08837769084192182,0.0002604845011721152,0.002285748970262462,0.06685487456366838
6160,366.7242245536571,0.0,-0.5754931739539967,0.0003246753246753308,0.00372523956917044,0.05939009817370207
1677,107.39563631499026,0.0,-0.22281460077795942,0.0011926058437686177,0.011349635094368505,0.06351978287462104
7525,520.6072645320136,0.0,-0.07735711678184111,0.0002657807308970155,0.002238973926384467,0.06906915652426074
9910,669.944345043427,0.0,-0.1429160423724565,0.00020181634712406043,0.00174886922497427,0.06751557782028952
8263,541.1956919889708,0.0,-0.0858032896890234,0.000242042841582942,0.0021682213072412647,0.06539107759217662
413,33.52490655633654,0.0,-0.2619664064470667,0.004842615012106614,0.03404270233123104,0.07913602568451714
8522,540.3296184384365,0.0,-0.08774230176335888,0.00023468669326443504,0.0021811966848500866,0.06330159840826706
7184,478.91011593353153,0.0,-0.0960105006132814,0.00027839643652556134,0.0024565987361471714,0.06654276189550717
9547,640.6797868873767,0.0,-0.07481649899340517,0.00020948989211277594,0.001818575140001314,0.06701726421030649
6200,394.82649443979,0.0,-0.10376880997686333,0.000322580645161332,0.0030055891338489865,0.06354089939331879
9061,612.9628339975827,0.0,-0.0770041659875691,0.00022072618916231103,0.0019118078953899566,0.06755302284993747
7211,480.1723474942255,0.0,-0.09712387968663833,0.0002773540424351063,0.002454663738109979,0.06646862914332423
6554,456.7647956865037,0.0,-0.15162982095885214,0.0003051571559353788,0.0026220574170883475,0.06956117150282419
2986,189.72027361635145,0.0,-0.14062050347433577,0.0006697923643670574,0.006207582186431879,0.06324405952290607
1045,68.66917083722892,0.0,-0.19186136098010007,0.001913875598086053,0.017345755365667476,0.06487935842495582
1858,118.9467937046743,0.0,-0.14737044481337871,0.0010764262648009272,0.009896118809178215,0.06354891902191505
2140,140.38782643649535,0.0,-0.16039807545595763,0.0009345794392523485,0.008383971283432002,0.06519542864195292
6258,407.5294957598911,0.0,-0.09768976910227781,0.0003195909236177342,0.0028848217110219562,0.06498233627875502
2614,178.788660429241,0.0,-0.12761715957289246,0.0007651109410864131,0.006528993696388366,0.06806610276770336
1668,101.12927054876795,0.0,-0.16269738862159153,0.001199040767386137,0.011828147305966444,0.060101602970448934
2731,201.76267223561254,0.0,-0.1428647848017185,0.000732332478945439,0.005724156923889389,0.0735663877741344
8495,526.5140974489766,0.0,-0.08385333331412499,0.00023543260741605533,0.0022454039347019174,0.061876144760270424
8226,537.3399838158645,0.0,-0.12845267240939187,0.000243131534159938,0.0021991234957080795,0.06521643772080073
2208,130.84455585981362,0.0,-0.16950468342086605,0.000905797101449219,0.009147857037647105,0.058859726137721516
6438,429.255088690765,0.0,-0.16566075974939876,0.00031065548306930365,0.0027701058831013613,0.06654056691901261
